,user,Date Created,Tweet
0,DrAhmadLawan,2020-12-27 20:42:36+00:00,I want to thank the traditional rulers and the entire Igbere community for the honour done to me. I also want to thank Senator Orji Uzor Kalu whose late father we have gone to remember today.
1,DrAhmadLawan,2020-12-27 20:42:36+00:00,"In the spirit of that common purpose, I can say today that I am a son of Igbere and with my cap signifying the title conferred on me, I can stand anywhere, in any part of Nigeria proudly and say I am from Igbere community."
2,DrAhmadLawan,2020-12-27 20:42:35+00:00,"Nigeria is designed by the Grace of God to be a nation of many people of different orientation, different sentiments but we must be a people with common purpose and common destiny and this is what we are trying to achieve."
3,DrAhmadLawan,2020-12-27 20:42:35+00:00,"Today and indeed even tomorrow and for ever, we can achieve better. We can achieve more when we are united."
4,DrAhmadLawan,2020-12-27 20:42:34+00:00,Nigeria needs all of us to be united. Nigeria needs all hands to be on deck. Nigeria needs the effort of each and every part to make it work and we can make it work.
5,DrAhmadLawan,2020-12-27 20:42:34+00:00,It doesn't matter where you come from. It doesn't matter what you believe in. What matters is that you are a Nigerian and the other person next to you is a Nigerian too.
6,DrAhmadLawan,2020-12-27 20:42:34+00:00,The conferment of this title is an attestation to the fact that national unity is something we all must embrace because the Nigeria needs all parts of the country to make things work.
7,DrAhmadLawan,2020-12-27 20:42:33+00:00,"The honour was done to me during my visit to Abia State to attend the 10th year memorial anniversary of the father of the Senate Chief Whip, Senator Orji Uzor Kalu which held at Igbere in Abia state."
8,DrAhmadLawan,2020-12-27 20:42:33+00:00,"Earlier today, the Igbere Clan Council of Ndi Eze in Abia State honoured me with the High Chief title of Nwannedinamba 1 (our number one Brother in Diaspora) and as a member of Ezumezu Circle of Igbere Ebiri in the state. https://t.co/YSZ47obP2W"
9,DrAhmadLawan,2020-12-25 06:18:56+00:00,I celebrate with you and enjoin all of us to remember the essence of the august occasion.
10,DrAhmadLawan,2020-12-25 06:18:56+00:00,"Given the fact of the second wave of the Coronavirus pandemic, we should keep our guard up and comply fully with the non-pharmaceutical guidelines that have been put in place by the authorities."
11,DrAhmadLawan,2020-12-25 06:18:55+00:00,"In the true spirit of the season, let's show love to our neighbours, kindness to the less-privileged and vulnerable, and tolerance to one another across the lines of faith, politics and ethnicity; in the spirit of the unique sacrifice and teachings of Jesus Christ."
12,DrAhmadLawan,2020-12-25 06:18:55+00:00,"With the prayers of the faithful and our continued support for the Government, I am confident that Nigeria will surmount its challenges, attain its manifest destiny of greatness and become the pride of its citizens and the entire Black World."
13,DrAhmadLawan,2020-12-25 06:18:54+00:00,"As we celebrate, however, people of faith should remember our country in their prayers, especially for divine guidance for the government in its efforts to improve national security and strengthen the economy."
14,DrAhmadLawan,2020-12-25 06:18:54+00:00,... but also ensure that their strains do not stop a merry and responsible celebration of Christmas in the country.
15,DrAhmadLawan,2020-12-25 06:18:53+00:00,"Aside from the global health emergency of COVID-19, Nigeria also faces security and economic challenges.

I am however confident that the resilience and positive attitudes of Nigerians would not only help our country to prevail against the challenges..."
16,DrAhmadLawan,2020-12-25 06:18:53+00:00,"This year's celebration comes at a time the world is combatting the resurgence of the Coronavirus pandemic, which has forced many countries to ramp up health safety protocols at a time people traditionally gather to share love in celebration of the birth of Jesus Christ."
17,DrAhmadLawan,2020-12-25 06:18:52+00:00,I felicitate with the Christian faithful and Nigerians generally as they join the rest of the world in celebrating Christmas.
18,DrAhmadLawan,2020-12-21 18:57:48+00:00,"Having passed the budget, our charge to the Committee on Niger Delta is to ensure the proper utilization of funds by the Commission through strict oversight. The Committee should sit-up and ensure that these funds are properly utilized."
19,DrAhmadLawan,2020-12-21 18:57:48+00:00,"Now that the IMC have gone and a new management in place, we gave our Committee on NDDC the go ahead to work on the budget and the Committee presented their report which we adopted and passed today."
20,DrAhmadLawan,2020-12-21 18:57:47+00:00,Recall that the Senate had suspended consideration on the Budget 2020 for NDDC because of our believe that the IMC was indicted by the Senate and therefore we could not interact with the Committee that had been indicted on the Appropriation of the commission.
21,DrAhmadLawan,2020-12-21 18:57:47+00:00,"Similar to the 2021 Appropriation Bill, the Senate also approved the 2020 budget estimate of the Niger Delta Development Commission (NDDC)."
22,DrAhmadLawan,2020-12-21 18:57:47+00:00,"I must warn however that the National Assembly will not accede to another request from the Executive to extend the capital implementation of the 2020 budget. Therefore, Ministries, Departments and Agencies of Government must fully utilize this extension."
23,DrAhmadLawan,2020-12-21 18:57:46+00:00,We have granted the request for this extension to ensure that the funds that are available for 2020 are not lost. This will guarantee sufficient injection of funds into Nigeria’s economy. That is absolute fight against the recession that we currently in.
24,DrAhmadLawan,2020-12-21 18:57:46+00:00,"With the Senate’s earlier approval for the extension of capital implementation of the 2020 budget, there will be two budgets running simultaneously; one from 1st January, 2021, up to 31st March, 2021; and then the implementation of the 2021 budget itself to start from January."
25,DrAhmadLawan,2020-12-21 18:57:45+00:00,"This budget that was passed by the National Assembly today, is to ensure that the economy is supported fully through public expenditure, because Nigeria's economy depends largely on public expenditure."
26,DrAhmadLawan,2020-12-21 18:57:45+00:00,"With the passage today, we have recorded another milestone like we did in 2019 by passing the budget before the end of the year, thus reaffirming our commitment to ensure that we run our budget cycle from January to December."
27,DrAhmadLawan,2020-12-21 18:57:43+00:00,"Today, the Nigerian Senate, after a rigorous and painstaking exercise passed the 2021 Appropriation Bill, which is now ready for transmission to the President for his assent. https://t.co/z591kf2ZLT"
28,DrAhmadLawan,2020-12-18 08:26:02+00:00,I also commend the security forces and the intelligence community for their coordinated efforts that brought this saga to early closure just as I urge them to continue in the same spirit and with the same approach in addressing other security issues across Nigeria.
29,DrAhmadLawan,2020-12-18 08:26:02+00:00,"I commend the prompt intervention and productive engagement of President Muhammadu Buhari, Governor Aminu Masari of Katsina state and others which resulted in the release of the children."
