,user,Date Created,Tweet
0,ChibuikeAmaechi,2020-12-25 12:04:36+00:00,"As we celebrate Christ, his birth, his love for us and the joy he brings to our lives, let us imbibe his virtues and spread joy, hope, peace and love. 

Merry Christmas!"
1,ChibuikeAmaechi,2020-12-19 20:04:25+00:00,"Unveiling the monitoring station, for realtime information across the terminal, to control and monitor cargoes going in and out of Apapa port. https://t.co/6GtzOQ6YxP"
2,ChibuikeAmaechi,2020-12-19 19:34:04+00:00,"At the APM terminals in Apapa, we analysed the synergy between the ports &amp; the rail lines, decongesting Apapa port; and looked at a detailed plan for offloading cargo unto the trains. We expect them to increase their speed at the Apapa axis &amp; reach completion before commissioning https://t.co/CBds8tZi4r"
3,ChibuikeAmaechi,2020-12-18 14:16:54+00:00,"We were at the Tincan Port today to assess the gridlock. We'll have a meeting of stakeholders to address the issues, find possible solutions &amp; take action. As the MD @nigerianports have said, we are also considering an e-callup system to help manage &amp; clear the gridlock. https://t.co/xlOxLhNlAj"
4,ChibuikeAmaechi,2020-12-07 20:48:02+00:00,"Pleased to have received an autographed copy of Prof. Wole Soyinka's latest work of art, ""Chronicles of the Happiest People on Earth"", launched today in Lagos. https://t.co/patCaEbZrJ"
5,ChibuikeAmaechi,2020-11-23 16:42:54+00:00,"We've told the contractors on the Lagos-Ibadan rail project to engage more workers across all stations for prompt completion. Work on the Operation Control Centre housing the main controls across the rail line is ongoing.

Video: Aerial view, Mobolaji Johnson Station, Ebute-metta https://t.co/MPfhgd7wg3"
6,ChibuikeAmaechi,2020-11-22 18:52:46+00:00,"At the Lekki deep seaport today, we gave the concessionaire a mandate to deliver &amp; commence commercial operations by 2022. 

With a Draught and dredging depth of 16.5 meters, the seaport would be a centre of trans-shipment for West Africa &amp; other Ports in Nigeria. A game changer. https://t.co/GPNsXnqbqB"
7,ChibuikeAmaechi,2020-11-22 13:01:56+00:00,... people’s private houses and public assets that belong to every Nigerian.
8,ChibuikeAmaechi,2020-11-22 13:01:55+00:00,"We toured the @nigerianports H/Q today &amp; it wasn't a good sight. If people are arrested for the crime perpetrated, they will not do it again. We have to go after the hoodlums &amp; ensure they pay.
The right to protest is defined in the laws of the land, it doesn’t include burning... https://t.co/KvSCbf8eUr"
9,ChibuikeAmaechi,2020-11-21 22:00:56+00:00,"The @NigerianNavy is working hard towards achieving this feat and will do even better with the new equipments alongside our other collaborators @HQNigerianArmy
@NigAirForce @PoliceNG DSS, @nimasaofficial https://t.co/2D9SUHdHcm"
10,ChibuikeAmaechi,2020-11-21 22:00:55+00:00,"Rounding off our maritime security assests inspection, Defence Minister/Chairman, Presidential Committee on the #DeepBlueProject, Maj Gen Magashi (retd) agrees that the project would enable us observe, detect &amp; solve the problem of piracy &amp; other criminal acts across our waters. https://t.co/QHvonfOj3Y"
11,ChibuikeAmaechi,2020-11-19 22:43:12+00:00,"Today, we commenced inspection of our maritime security architecture and assests #DeepBlueProject. All equipments including vessels, UAVs, interceptor boats, sattelite and ground communication systems, etc., are now in the country, awaiting the aircrafts. #SecuringNigerianWaters https://t.co/BUDn6qUiwO"
12,ChibuikeAmaechi,2020-10-17 22:35:31+00:00,"On our inspection today, I noticed that there is huge improvement in almost all stations on the Lagos-Ibadan rail line. I've charged the contractors to continue with this pace but never to compromise on quality and safety. We want a rail line that will stand the test of time. https://t.co/SktDoMcRfI"
13,ChibuikeAmaechi,2020-10-11 18:44:59+00:00,"Congratulations @RotimiAkeredolu on your reelection. The people of Ondo have spoken, loud and clear. Democracy triumphs. I believe you will dedicate the next four years to giving them the best leadership possible. 

Congratulations Aketi!"
14,ChibuikeAmaechi,2020-10-07 14:34:04+00:00,"Port Harcourt - Maiduguri Railway, approved!"
15,ChibuikeAmaechi,2020-10-02 08:11:58+00:00,"I will be hanging out with the ladies of @YourViewTVC on TV Continental from 9:30am this morning, discussing Nigeria’s infrastructural progress @ 60. Kindly join us."
16,ChibuikeAmaechi,2020-10-01 19:23:57+00:00,"We are looking forward to the approval of the Port Harcourt - Maiduguri rail line by cabinet hopefully by next week, with the Bonny Seaport already approved by the President. Lagos - Calabar is still on the table. https://t.co/NhQYnofSvQ"
17,ChibuikeAmaechi,2020-10-01 18:45:52+00:00,"People ask about the commercial benefits of the Kano - Maradi rail line. With that line we can compete favourably with other coastal countries of West Africa in servicing the landlocked countries around us in the area of movement of cargoes, to make the Lagos seaports very viable https://t.co/rCBkSg2ObJ"
18,ChibuikeAmaechi,2020-10-01 11:14:01+00:00,"Nigeria! We are one people, a great nation, unique in our diversity and blessed with great human and natural resources. Yes, we have challenges like every nation, but we can make it work. Let’s join hands to build the 🇳🇬 we want.

Happy Independence Day 🇳🇬"
19,ChibuikeAmaechi,2020-09-29 16:43:03+00:00,We completed this project with funds from our national budget. No loans. https://t.co/oo7FzACWQM
20,ChibuikeAmaechi,2020-09-29 16:02:50+00:00,"The Itakpe-Warri rail line is a 326km single track standard gauge railway with 90% coverage in the Niger Delta and two communities in Kogi state (Itakpe and Ajaokuta). Plans to extend the track to the Warri Seaport are on, plus an extension from Itakpe to Abuja. https://t.co/Tu0aMePiNe"
21,ChibuikeAmaechi,2020-09-23 19:15:18+00:00,"@NGRPresident @Mbuhari will on Tuesday commission the Warri-Itakpe rail line which runs through Kogi, Edo and Delta States. This will set the stage for commencement of operations on that route.
Also, we've gotten approval for the construction of the Kano-Maradi &amp; Dutse rail line."
