id,User,Date,Tweet
0,officialABAT,2019-12-17 17:27:55+00:00,"10. I wish you, Mr. President, so many more years of good health and fine achievement. Happy Birthday Mr. President!"
1,officialABAT,2019-12-17 17:27:55+00:00,"9. “As usual, you have shown rare bravery and exemplary resilience in all you do. Your hand is on the plough and we know you will continue to press on. Be assured, the people of this nation are with you as you are for them."
2,officialABAT,2019-12-17 17:27:54+00:00,"8. “By expressing your desire that the party continues to be strong and vibrant even after your tenure, you have demonstrated your commitment to an enduring political legacy to buttress the patriotic legacy of your years of governance as president of our beloved republic."
3,officialABAT,2019-12-17 17:27:54+00:00,"7. As the leader of our party, you have shown great statesmanship by taking action and giving counsel that strengthens the APC and its pursuit of greater internal democracy and openness."
4,officialABAT,2019-12-17 17:27:53+00:00,6...you continue to take initiatives that draw on the immense talent and creativity of our people. “You are truly the president for this moment in our national journey. You have our full support.
5,officialABAT,2019-12-17 17:27:53+00:00,5...they will ultimately fall due to your efforts protecting our national security. Your fight against corruption has been historic and it has reflected your great personal honesty. In reviving our economy...
6,officialABAT,2019-12-17 17:27:52+00:00,"4. “A man of political courage, you have taken bold decisions that those before you knew were needed but avoided taking. You have made Nigeria safer by making the violent terrorists and wrongdoers so much weaker that..."
7,officialABAT,2019-12-17 17:27:52+00:00,"3. As president,you have done much to correct our national direction and to place us on the pathway to our better future.Your administration has been one of momentous achievement and the realization of hope and progress for our country and our party,the All Progressives Congress"
8,officialABAT,2019-12-17 17:27:51+00:00,"2. Throughout your public life you have shown yourself to be a man of hard work, dedication and principle. 

“You have exhibited that rare combination of a simple and modest lifestyle coupled with an ambitious and grand vision for our nation."
9,officialABAT,2019-12-17 17:27:51+00:00,"1. Tinubu Congratulates Buhari at 77:

Joining the rest of the country, I extend my best wishes to President Muhammadu Buhari on his birthday. This special day gives us an opportunity to personally thank you for the contributions you have made to the development of our nation."
10,officialABAT,2019-12-03 19:15:57+00:00,"25.
7. Whatever you do or wherever you are, maintain your integrity and good name. They will serve you more than riches.

Thus, today, we bid farewell to a man with such a name and who lived with such integrity. For this, he shall always be remembered."
11,officialABAT,2019-12-03 19:15:56+00:00,"24. 
5. An individual will be remembered for the impact he made in the lives of the people, for his contributions to socio-econ development.
6. There are leaders and there are leaders, but only those who make a big difference will be entitled to the positive judgment of history"
12,officialABAT,2019-12-03 19:15:56+00:00,"23. 
3. We should rededicate our lives to the agenda of progress by laying a good foundation for future generations.
4. Leaders at all levels should realise that power is neither served a la carte nor can one hold office forever."
13,officialABAT,2019-12-03 19:15:55+00:00,"22. What should the present generation learn from the deceased Lagos patriot?
1. Government must be dedicated to public welfare to earn the support of the people.
2. We should always promote the tradition of democratic inclusion."
14,officialABAT,2019-12-03 19:15:54+00:00,"21. These pioneer civil servants, particularly the four musketeers, -Act. Sect to Government A.E. Howson-Wright, Acting Financial Sect Mr. F.C.O. Coker, Legal Secretary M.I.O. Agoro and Principal Secretary J.O Adeyemi-Bero- left indelible marks in the Lagos State Civil Service."
15,officialABAT,2019-12-03 19:15:54+00:00,"20. The civil service is critical to an effective and efficient administration. Hence, the governor did not make a false start. He went out for the best technocrats who he attracted from the Federal Civil Service, Western State Civil Service and universities."
16,officialABAT,2019-12-03 19:15:53+00:00,"19. ...Justice Teslim Elias, Chief Fagbeyiro Beyioku and Chief Femi Ayantuga. Under his leadership, these elders contributed their expertise and experience, to the wellbeing and progress of Lagos State."
17,officialABAT,2019-12-03 19:15:52+00:00,"17. Not only must the government carry people along in its people-oriented activities, it must seek the benefit of a robust feedback from the very people who are the intended beneficiaries of meaningful programmes."
18,officialABAT,2019-12-03 19:15:52+00:00,"16. That approach to governance is still relevant till today, particularly under the democratic setting. A democratic government cannot be aloof. Neither can it achieve desired success through alienation of critical stakeholders."
19,officialABAT,2019-12-03 19:15:51+00:00,"15. Where others might have used a heavy hand, Pa Johnson employed tact and wisdom for governance in a challenging terrain. Governor Johnson promoted the culture of inclusiveness through his wide and painstaking consultations with eminent Lagos elders and traditional rulers."
20,officialABAT,2019-12-03 19:15:51+00:00,"14. Traditionally, military governors were deployed to fledging states to rule by force. But, the young governor was not indifferent to the consciousness, complexity and sophistication of heterogeneous Lagos."
21,officialABAT,2019-12-03 19:15:50+00:00,"13. Yet, since he did not plan to fail, he did not fail to plan. The greatest assets of a given society are its human resources. It was a credit to his administration that as its head, he made people the central focus and indeed, the cornerstone of his administration."
22,officialABAT,2019-12-03 19:15:50+00:00,"12. As a pioneer, the then youthful and promising Lieutenant-Colonel Johnson had no predecessor to emulate. As he reflected in his memoirs, he had to start with ""a clean sheet"" as there was no manual or past record of state governance to refer to."
23,officialABAT,2019-12-03 19:15:49+00:00,"11. He had embraced soldiering as a career, taking after his father, who fought in the Second World War. Little did he guess that he would be catapulted to the corridor of power. At 31, Johnson was appointed as military governor of Lagos State by Gen. Gowon on May 31, 1967."
24,officialABAT,2019-12-03 19:15:49+00:00,10. He was one of the finest officers that have worked with me and I am proud of the achievements that we together recorded for Lagos State. The youths of today have many virtues to learn from Pa Johnson.
25,officialABAT,2019-12-03 19:15:48+00:00,"9. As attested to by his Commander-in-Chief, Gen. Yakubu Gowon, Johnson’s ""courage and success in the military and later, in governance and business have been remarkable and brought him the admiration we have for him."
26,officialABAT,2019-12-03 19:15:48+00:00,"8. Brigadier-General Mobolaji Olufunso Johnson laid a durable foundation, which his successors, both military and civilians, have continued to build upon in the city-state of Lagos. His hard work, discipline and sense of purpose were legendary."
27,officialABAT,2019-12-03 19:15:47+00:00,7. He quietly offered constructive advice to successive administration in Lagos without playing to the gallery. He was a man of courage and this made him a man of peace.
28,officialABAT,2019-12-03 19:15:47+00:00,"6. In the twilight of his life, the first military governor deliberately kept a low profile. He shunned controversy, unlike some of his peers who revel in highly partisan inflammatory statements."
29,officialABAT,2019-12-03 19:15:46+00:00,"5. We recall the courage, the firmness and wisdom of decision-making, the sense of accommodation of stakeholders, the extra-ordinary emotional intelligence in power, the foresight, creativity, and the calmness of a benevolent soldier-administrator in moments of crisis."
30,officialABAT,2019-12-03 19:15:46+00:00,"4. who left good legacies in public service. We mourn no doubt. But, more importantly, we rejoice over the evergreen landmarks of the pioneer administrator who, at its formative stage, made the Centre of Excellence a reference point."
31,officialABAT,2019-12-03 19:15:45+00:00,"3. We celebrate a servant-leader, an incorruptible elder-statesman who refused to use the corridor of power as an avenue for private accumulation. We salute a gallant officer who did not compromise the ethics of military professionalism and an epitome of discipline..."
32,officialABAT,2019-12-03 19:15:44+00:00,"2. We converge to honour a man of integrity who made history as the first military administrator, and later, governor of our beloved state. We bid an officer and a gentleman farewell."
33,officialABAT,2019-12-03 19:15:44+00:00,"1. Tribute to Late Brigadier-General Mobolaji Olufunso Johnson: An Officer and Gentleman Goes Home

We gather today to pay tribute to an icon of Lagos State."
34,officialABAT,2019-11-19 15:39:26+00:00,"2. I’m deeply saddened by the death of Umar Pariya. I knew him very well. He was very cerebral. An excellent human being, Umar Pariya had a welcoming and accommodating spirit. May his soul rest in the bosom of the Lord."
35,officialABAT,2019-11-19 15:39:25+00:00,"1. My condolences to Vice President Atiku Abubakar over the loss. May VP Atiku, family, friends and associates of the late Pariya find the strength to live through this sudden and untimely demise."
36,officialABAT,2019-11-18 17:21:51+00:00,17. They have done their part; the two governors must now do theirs by providing good leadership and progressive governance to their people.
37,officialABAT,2019-11-18 17:21:51+00:00,"16. Their task is never easy.  They deserve praise for overseeing well-organised elections. Above all, I commend the people of Kogi and Bayelsa who came out to perform their civic duty and express their sovereign will in a clear and decisive manner."
38,officialABAT,2019-11-18 17:21:50+00:00,"15. Violent behaviour must not be allowed to impede our path to greatness as a democratic nation. I also commend all INEC officials involved for conducting fair, free and credible elections."
39,officialABAT,2019-11-18 17:21:50+00:00,14. We sympathise with the victims and commiserate with the families of those who lost their lives. I enjoin law-enforcement authorities to identify those responsible for perpetrating the violence and levy the full force of the law against them.
40,officialABAT,2019-11-18 17:21:49+00:00,13. I condemn the scattered incidents of violence witnessed in the election in some parts of Kogi State. Election should celebrate our democratic existence. Never should election be occasioned by loss of life.
41,officialABAT,2019-11-18 17:21:49+00:00,13. I urge the opposition candidates and politicians in Kogi and Bayelsa to rally round their governors and work together in the interests of their two states.
42,officialABAT,2019-11-18 17:21:48+00:00,"12. He must take advantage of the state’s agricultural richness as well as its proximity to the Federal Capital Territory, Abuja and the commerce resulting from that closeness."
43,officialABAT,2019-11-18 17:21:48+00:00,"11. The governor must focus on the development of the state as he is the person, more than anyone else, who will determine the fate of Kogi. He must do all he can to realise the potential of the state."
44,officialABAT,2019-11-18 17:21:47+00:00,"10. For Governor Bello, the people of Kogi have handed him a second term. Their vote is proof of the confidence that the people of Kogi retain in his leadership. He must now re-double his efforts to do even more for the people in his second term."
45,officialABAT,2019-11-18 17:21:47+00:00,9. They too must be gracious in defeat. The governor must be a leader for all and work for all Bayelsans irrespective of party affiliation.
46,officialABAT,2019-11-18 17:21:47+00:00,8. He must carry along all disparate interests in the state and be magnanimous in victory. Let him reach out to the political opponents who mounted a spirited and energetic campaign.
47,officialABAT,2019-11-18 17:21:46+00:00,7. Bayelsa is endowed with significant natural resources and human capital. It will be incumbent on the Governor-elect to harness these assets for the good of all Bayelsans.
48,officialABAT,2019-11-18 17:21:46+00:00,"6.  With this victory, Governor-elect Lyon’s task is to justify the people’s faith by providing a purposeful and transformational administration."
49,officialABAT,2019-11-18 17:21:45+00:00,"5.  By voting APC, the people of Bayelsa have voted for progressive reform and Asiwaju joins them in their belief that David Lyon is the man to deliver the needed and desired reform."
